dataset,mode,k,n_cycles,run,engine_id,sensor,cued,claimed,expected_textbook,actual_in_window,net_change,pred_rul,true_rul
FD001,few_shot,10,5,run1,12,s4,False,absent,increase,increase,0.07300000000000001,45,124.0
FD001,few_shot,10,5,run1,12,s7,False,unspecified,decrease,decrease,-0.10000000000000009,45,124.0
FD001,few_shot,10,5,run1,12,s9,True,absent,decrease,increase,0.05099999999999999,45,124.0
FD001,few_shot,10,5,run1,12,s11,True,absent,increase,decrease,-0.04099999999999998,45,124.0
FD001,few_shot,10,5,run1,12,s12,True,absent,increase,increase,0.07399999999999995,45,124.0
FD001,few_shot,10,5,run1,12,s14,True,absent,decrease,increase,0.030999999999999972,45,124.0
FD001,few_shot,10,5,run1,12,s15,True,absent,increase,increase,0.08499999999999996,45,124.0
FD001,few_shot,10,5,run1,13,s4,False,absent,increase,increase,0.05600000000000005,23,95.0
FD001,few_shot,10,5,run1,13,s7,False,unspecified,decrease,decrease,-0.06499999999999995,23,95.0
FD001,few_shot,10,5,run1,13,s9,True,absent,decrease,stable,-0.0050000000000000044,23,95.0
FD001,few_shot,10,5,run1,13,s11,True,absent,increase,increase,0.01200000000000001,23,95.0
FD001,few_shot,10,5,run1,13,s12,True,absent,increase,decrease,-0.18499999999999994,23,95.0
FD001,few_shot,10,5,run1,13,s14,True,absent,decrease,decrease,-0.015000000000000013,23,95.0
FD001,few_shot,10,5,run1,13,s15,True,absent,increase,increase,0.08499999999999996,23,95.0
FD001,few_shot,10,5,run1,14,s4,False,absent,increase,decrease,-0.043999999999999984,23,107.0
FD001,few_shot,10,5,run1,14,s7,False,unspecified,decrease,increase,0.06899999999999995,23,107.0
FD001,few_shot,10,5,run1,14,s9,True,absent,decrease,stable,-0.007999999999999993,23,107.0
FD001,few_shot,10,5,run1,14,s11,True,absent,increase,decrease,-0.15999999999999998,23,107.0
FD001,few_shot,10,5,run1,14,s12,True,absent,increase,decrease,-0.10700000000000004,23,107.0
FD001,few_shot,10,5,run1,14,s14,True,absent,decrease,increase,0.023000000000000007,23,107.0
FD001,few_shot,10,5,run1,14,s15,True,absent,increase,decrease,-0.015000000000000013,23,107.0
FD001,few_shot,10,5,run1,15,s4,False,absent,increase,increase,0.03999999999999998,45,83.0
FD001,few_shot,10,5,run1,15,s7,False,unspecified,decrease,decrease,-0.04499999999999993,45,83.0
FD001,few_shot,10,5,run1,15,s9,True,absent,decrease,increase,0.027999999999999997,45,83.0
FD001,few_shot,10,5,run1,15,s11,True,absent,increase,decrease,-0.16100000000000003,45,83.0
FD001,few_shot,10,5,run1,15,s12,True,absent,increase,increase,0.16200000000000003,45,83.0
FD001,few_shot,10,5,run1,15,s14,True,absent,decrease,increase,0.025999999999999995,45,83.0
FD001,few_shot,10,5,run1,15,s15,True,absent,increase,decrease,-0.057999999999999996,45,83.0
FD001,few_shot,10,5,run1,16,s4,False,absent,increase,decrease,-0.026000000000000023,45,84.0
FD001,few_shot,10,5,run1,16,s7,False,unspecified,decrease,increase,0.06900000000000006,45,84.0
FD001,few_shot,10,5,run1,16,s9,True,absent,decrease,stable,0.0040000000000000036,45,84.0
FD001,few_shot,10,5,run1,16,s11,True,absent,increase,increase,0.06,45,84.0
FD001,few_shot,10,5,run1,16,s12,True,absent,increase,increase,0.026000000000000023,45,84.0
FD001,few_shot,10,5,run1,16,s14,True,absent,decrease,decrease,-0.016000000000000014,45,84.0
FD001,few_shot,10,5,run1,16,s15,True,absent,increase,increase,0.07500000000000001,45,84.0
FD001,few_shot,10,5,run1,17,s4,False,absent,increase,increase,0.11199999999999999,23,50.0
FD001,few_shot,10,5,run1,17,s7,False,unspecified,decrease,decrease,-0.018000000000000016,23,50.0
FD001,few_shot,10,5,run1,17,s9,True,absent,decrease,stable,0.0040000000000000036,23,50.0
FD001,few_shot,10,5,run1,17,s11,True,absent,increase,decrease,-0.018000000000000016,23,50.0
FD001,few_shot,10,5,run1,17,s12,True,absent,increase,increase,0.041999999999999926,23,50.0
FD001,few_shot,10,5,run1,17,s14,True,absent,decrease,increase,0.02400000000000002,23,50.0
FD001,few_shot,10,5,run1,17,s15,True,absent,increase,decrease,-0.12400000000000005,23,50.0
FD001,few_shot,10,5,run1,18,s4,False,absent,increase,stable,-0.0010000000000000009,30,28.0
FD001,few_shot,10,5,run1,18,s7,False,unspecified,decrease,increase,0.016999999999999904,30,28.0
FD001,few_shot,10,5,run1,18,s9,True,absent,decrease,increase,0.010000000000000009,30,28.0
FD001,few_shot,10,5,run1,18,s11,True,absent,increase,increase,0.04199999999999998,30,28.0
FD001,few_shot,10,5,run1,18,s12,True,absent,increase,decrease,-0.03700000000000003,30,28.0
FD001,few_shot,10,5,run1,18,s14,True,absent,decrease,stable,0.0030000000000000027,30,28.0
FD001,few_shot,10,5,run1,18,s15,True,absent,increase,decrease,-0.13599999999999995,30,28.0
FD001,few_shot,10,5,run1,19,s4,False,absent,increase,increase,0.068,23,87.0
FD001,few_shot,10,5,run1,19,s7,False,unspecified,decrease,decrease,-0.05799999999999994,23,87.0
FD001,few_shot,10,5,run1,19,s9,True,absent,decrease,decrease,-0.038000000000000006,23,87.0
FD001,few_shot,10,5,run1,19,s11,True,absent,increase,decrease,-0.10100000000000003,23,87.0
FD001,few_shot,10,5,run1,19,s12,True,absent,increase,stable,0.009000000000000008,23,87.0
FD001,few_shot,10,5,run1,19,s14,True,absent,decrease,decrease,-0.034,23,87.0
FD001,few_shot,10,5,run1,19,s15,True,absent,increase,increase,0.359,23,87.0
FD001,few_shot,10,5,run1,20,s4,False,absent,increase,stable,-0.0030000000000000027,10,16.0
FD001,few_shot,10,5,run1,20,s7,False,unspecified,decrease,increase,0.07700000000000001,10,16.0
FD001,few_shot,10,5,run1,20,s9,True,absent,decrease,increase,0.034,10,16.0
FD001,few_shot,10,5,run1,20,s11,True,absent,increase,increase,0.14900000000000002,10,16.0
FD001,few_shot,10,5,run1,20,s12,True,absent,increase,increase,0.07499999999999996,10,16.0
FD001,few_shot,10,5,run1,20,s14,True,absent,decrease,stable,-0.0010000000000000009,10,16.0
FD001,few_shot,10,5,run1,20,s15,True,absent,increase,decrease,-0.2789999999999999,10,16.0
FD001,few_shot,10,5,run1,21,s4,False,absent,increase,decrease,-0.056999999999999995,10,57.0
FD001,few_shot,10,5,run1,21,s7,False,unspecified,decrease,stable,0.007000000000000006,10,57.0
FD001,few_shot,10,5,run1,21,s9,True,absent,decrease,increase,0.03799999999999998,10,57.0
FD001,few_shot,10,5,run1,21,s11,True,absent,increase,increase,0.065,10,57.0
FD001,few_shot,10,5,run1,21,s12,True,absent,increase,increase,0.02299999999999991,10,57.0
FD001,few_shot,10,5,run1,21,s14,True,absent,decrease,stable,0.0040000000000000036,10,57.0
FD001,few_shot,10,5,run1,21,s15,True,absent,increase,increase,0.09600000000000003,10,57.0
FD001,few_shot,10,5,run1,22,s4,False,absent,increase,increase,0.09199999999999997,45,111.0
FD001,few_shot,10,5,run1,22,s7,False,unspecified,decrease,increase,0.08600000000000008,45,111.0
FD001,few_shot,10,5,run1,22,s9,True,absent,decrease,increase,0.05399999999999999,45,111.0
FD001,few_shot,10,5,run1,22,s11,True,absent,increase,decrease,-0.01100000000000001,45,111.0
FD001,few_shot,10,5,run1,22,s12,True,absent,increase,decrease,-0.08699999999999997,45,111.0
FD001,few_shot,10,5,run1,22,s14,True,absent,decrease,increase,0.05000000000000002,45,111.0
FD001,few_shot,10,5,run1,22,s15,True,absent,increase,decrease,-0.019000000000000017,45,111.0
FD001,few_shot,10,5,run1,23,s4,False,absent,increase,increase,0.05399999999999999,45,113.0
FD001,few_shot,10,5,run1,23,s7,False,unspecified,decrease,increase,0.04799999999999993,45,113.0
FD001,few_shot,10,5,run1,23,s9,True,absent,decrease,decrease,-0.023999999999999994,45,113.0
FD001,few_shot,10,5,run1,23,s11,True,absent,increase,decrease,-0.07199999999999998,45,113.0
FD001,few_shot,10,5,run1,23,s12,True,absent,increase,decrease,-0.10199999999999998,45,113.0
FD001,few_shot,10,5,run1,23,s14,True,absent,decrease,increase,0.012999999999999984,45,113.0
FD001,few_shot,10,5,run1,23,s15,True,absent,increase,increase,0.229,45,113.0
FD001,few_shot,10,5,run1,24,s4,False,absent,increase,increase,0.03200000000000003,30,20.0
FD001,few_shot,10,5,run1,24,s7,False,unspecified,decrease,increase,0.176,30,20.0
FD001,few_shot,10,5,run1,24,s9,True,absent,decrease,increase,0.010999999999999899,30,20.0
FD001,few_shot,10,5,run1,24,s11,True,absent,increase,increase,0.04199999999999998,30,20.0
FD001,few_shot,10,5,run1,24,s12,True,absent,increase,decrease,-0.14499999999999996,30,20.0
FD001,few_shot,10,5,run1,24,s14,True,absent,decrease,stable,-0.0020000000000000018,30,20.0
FD001,few_shot,10,5,run1,24,s15,True,absent,increase,increase,0.11299999999999999,30,20.0
FD001,few_shot,10,5,run1,25,s4,False,absent,increase,decrease,-0.139,23,125.0
FD001,few_shot,10,5,run1,25,s7,False,unspecified,decrease,decrease,-0.051000000000000045,23,125.0
FD001,few_shot,10,5,run1,25,s9,True,absent,decrease,decrease,-0.02600000000000001,23,125.0
FD001,few_shot,10,5,run1,25,s11,True,absent,increase,increase,0.07700000000000001,23,125.0
FD001,few_shot,10,5,run1,25,s12,True,absent,increase,decrease,-0.08099999999999996,23,125.0
FD001,few_shot,10,5,run1,25,s14,True,absent,decrease,increase,0.02200000000000002,23,125.0
FD001,few_shot,10,5,run1,25,s15,True,absent,increase,stable,-0.0040000000000000036,23,125.0
FD001,few_shot,10,5,run1,26,s4,False,absent,increase,decrease,-0.09199999999999997,23,119.0
FD001,few_shot,10,5,run1,26,s7,False,unspecified,decrease,increase,0.039000000000000035,23,119.0
FD001,few_shot,10,5,run1,26,s9,True,absent,decrease,increase,0.062,23,119.0
FD001,few_shot,10,5,run1,26,s11,True,absent,increase,increase,0.10700000000000001,23,119.0
FD001,few_shot,10,5,run1,26,s12,True,absent,increase,decrease,-0.03400000000000003,23,119.0
FD001,few_shot,10,5,run1,26,s14,True,absent,decrease,increase,0.013000000000000012,23,119.0
FD001,few_shot,10,5,run1,26,s15,True,absent,increase,increase,0.253,23,119.0
FD001,few_shot,10,5,run1,27,s4,False,absent,increase,increase,0.064,23,66.0
FD001,few_shot,10,5,run1,27,s7,False,unspecified,decrease,decrease,-0.06399999999999995,23,66.0
FD001,few_shot,10,5,run1,27,s9,True,absent,decrease,stable,-0.008000000000000007,23,66.0
FD001,few_shot,10,5,run1,27,s11,True,absent,increase,increase,0.035999999999999976,23,66.0
FD001,few_shot,10,5,run1,27,s12,True,absent,increase,increase,0.02100000000000002,23,66.0
FD001,few_shot,10,5,run1,27,s14,True,absent,decrease,decrease,-0.06,23,66.0
FD001,few_shot,10,5,run1,27,s15,True,absent,increase,decrease,-0.08100000000000002,23,66.0
FD001,few_shot,10,5,run1,28,s4,False,absent,increase,increase,0.020000000000000018,10,97.0
FD001,few_shot,10,5,run1,28,s7,False,unspecified,decrease,decrease,-0.06599999999999995,10,97.0
FD001,few_shot,10,5,run1,28,s9,True,absent,decrease,increase,0.018000000000000016,10,97.0
FD001,few_shot,10,5,run1,28,s11,True,absent,increase,increase,0.11299999999999999,10,97.0
FD001,few_shot,10,5,run1,28,s12,True,absent,increase,increase,0.03200000000000003,10,97.0
FD001,few_shot,10,5,run1,28,s14,True,absent,decrease,decrease,-0.013000000000000012,10,97.0
FD001,few_shot,10,5,run1,28,s15,True,absent,increase,increase,0.05199999999999999,10,97.0
FD001,few_shot,10,5,run1,29,s4,False,absent,increase,decrease,-0.061,45,90.0
FD001,few_shot,10,5,run1,29,s7,False,unspecified,decrease,decrease,-0.04499999999999993,45,90.0
FD001,few_shot,10,5,run1,29,s9,True,absent,decrease,increase,0.03699999999999998,45,90.0
FD001,few_shot,10,5,run1,29,s11,True,absent,increase,decrease,-0.16100000000000003,45,90.0
FD001,few_shot,10,5,run1,29,s12,True,absent,increase,decrease,-0.038000000000000034,45,90.0
FD001,few_shot,10,5,run1,29,s14,True,absent,decrease,increase,0.016999999999999987,45,90.0
FD001,few_shot,10,5,run1,29,s15,True,absent,increase,increase,0.08899999999999997,45,90.0
FD001,few_shot,10,5,run1,30,s4,False,absent,increase,decrease,-0.015000000000000013,23,115.0
FD001,few_shot,10,5,run1,30,s7,False,unspecified,decrease,stable,-0.008000000000000007,23,115.0
FD001,few_shot,10,5,run1,30,s9,True,absent,decrease,increase,0.054000000000000006,23,115.0
FD001,few_shot,10,5,run1,30,s11,True,absent,increase,decrease,-0.01799999999999996,23,115.0
FD001,few_shot,10,5,run1,30,s12,True,absent,increase,increase,0.041000000000000036,23,115.0
FD001,few_shot,10,5,run1,30,s14,True,absent,decrease,increase,0.03,23,115.0
FD001,few_shot,10,5,run1,30,s15,True,absent,increase,increase,0.07299999999999995,23,115.0
FD001,few_shot,10,5,run1,31,s4,False,absent,increase,decrease,-0.21499999999999997,23,8.0
FD001,few_shot,10,5,run1,31,s7,False,unspecified,decrease,decrease,-0.02799999999999997,23,8.0
FD001,few_shot,10,5,run1,31,s9,True,absent,decrease,increase,0.015000000000000013,23,8.0
FD001,few_shot,10,5,run1,31,s11,True,absent,increase,decrease,-0.21399999999999997,23,8.0
FD001,few_shot,10,5,run1,31,s12,True,absent,increase,decrease,-0.15200000000000002,23,8.0
FD001,few_shot,10,5,run1,31,s14,True,absent,decrease,decrease,-0.016000000000000014,23,8.0
FD001,few_shot,10,5,run1,31,s15,True,absent,increase,decrease,-0.09999999999999998,23,8.0
FD001,few_shot,10,5,run1,32,s4,False,absent,increase,decrease,-0.09199999999999997,45,48.0
FD001,few_shot,10,5,run1,32,s7,False,unspecified,decrease,decrease,-0.019000000000000017,45,48.0
FD001,few_shot,10,5,run1,32,s9,True,absent,decrease,increase,0.03899999999999998,45,48.0
FD001,few_shot,10,5,run1,32,s11,True,absent,increase,decrease,-0.01200000000000001,45,48.0
FD001,few_shot,10,5,run1,32,s12,True,absent,increase,increase,0.14300000000000002,45,48.0
FD001,few_shot,10,5,run1,32,s14,True,absent,decrease,increase,0.018000000000000016,45,48.0
FD001,few_shot,10,5,run1,32,s15,True,absent,increase,decrease,-0.029000000000000026,45,48.0
FD001,few_shot,10,5,run1,33,s4,False,absent,increase,increase,0.17799999999999994,45,106.0
FD001,few_shot,10,5,run1,33,s7,False,unspecified,decrease,increase,0.05399999999999994,45,106.0
FD001,few_shot,10,5,run1,33,s9,True,absent,decrease,decrease,-0.014999999999999986,45,106.0
FD001,few_shot,10,5,run1,33,s11,True,absent,increase,decrease,-0.06,45,106.0
FD001,few_shot,10,5,run1,33,s12,True,absent,increase,decrease,-0.17900000000000005,45,106.0
FD001,few_shot,10,5,run1,33,s14,True,absent,decrease,decrease,-0.013000000000000012,45,106.0
FD001,few_shot,10,5,run1,33,s15,True,absent,increase,increase,0.061,45,106.0
FD001,few_shot,10,5,run1,34,s4,False,absent,increase,increase,0.08899999999999997,30,7.0
FD001,few_shot,10,5,run1,34,s7,False,unspecified,decrease,decrease,-0.029000000000000026,30,7.0
FD001,few_shot,10,5,run1,34,s9,True,absent,decrease,decrease,-0.062,30,7.0
FD001,few_shot,10,5,run1,34,s11,True,absent,increase,increase,0.06000000000000005,30,7.0
FD001,few_shot,10,5,run1,34,s12,True,absent,increase,decrease,-0.06,30,7.0
FD001,few_shot,10,5,run1,34,s14,True,absent,decrease,decrease,-0.013999999999999999,30,7.0
FD001,few_shot,10,5,run1,34,s15,True,absent,increase,increase,0.09199999999999997,30,7.0
FD001,few_shot,10,5,run1,35,s4,False,absent,increase,increase,0.14500000000000002,23,11.0
FD001,few_shot,10,5,run1,35,s7,False,unspecified,decrease,decrease,-0.044999999999999984,23,11.0
FD001,few_shot,10,5,run1,35,s9,True,absent,decrease,stable,0.0050000000000000044,23,11.0
FD001,few_shot,10,5,run1,35,s11,True,absent,increase,increase,0.06499999999999995,23,11.0
FD001,few_shot,10,5,run1,35,s12,True,absent,increase,decrease,-0.044999999999999984,23,11.0
FD001,few_shot,10,5,run1,35,s14,True,absent,decrease,increase,0.02400000000000002,23,11.0
FD001,few_shot,10,5,run1,35,s15,True,absent,increase,increase,0.11399999999999999,23,11.0
FD001,few_shot,10,5,run1,36,s4,False,absent,increase,decrease,-0.06500000000000006,10,19.0
FD001,few_shot,10,5,run1,36,s7,False,unspecified,decrease,increase,0.129,10,19.0
FD001,few_shot,10,5,run1,36,s9,True,absent,decrease,decrease,-0.028999999999999998,10,19.0
FD001,few_shot,10,5,run1,36,s11,True,absent,increase,decrease,-0.07099999999999995,10,19.0
FD001,few_shot,10,5,run1,36,s12,True,absent,increase,decrease,-0.11099999999999999,10,19.0
FD001,few_shot,10,5,run1,36,s14,True,absent,decrease,decrease,-0.034,10,19.0
FD001,few_shot,10,5,run1,36,s15,True,absent,increase,increase,0.23399999999999999,10,19.0
FD001,few_shot,10,5,run1,37,s4,False,absent,increase,increase,0.01100000000000001,30,21.0
FD001,few_shot,10,5,run1,37,s7,False,unspecified,decrease,stable,0.0040000000000000036,30,21.0
FD001,few_shot,10,5,run1,37,s9,True,absent,decrease,decrease,-0.027999999999999997,30,21.0
FD001,few_shot,10,5,run1,37,s11,True,absent,increase,increase,0.01200000000000001,30,21.0
FD001,few_shot,10,5,run1,37,s12,True,absent,increase,decrease,-0.07900000000000001,30,21.0
FD001,few_shot,10,5,run1,37,s14,True,absent,decrease,decrease,-0.023999999999999994,30,21.0
FD001,few_shot,10,5,run1,37,s15,True,absent,increase,increase,0.08400000000000007,30,21.0
FD001,few_shot,10,5,run1,38,s4,False,absent,increase,decrease,-0.16500000000000004,22,50.0
FD001,few_shot,10,5,run1,38,s7,False,unspecified,decrease,increase,0.07900000000000001,22,50.0
FD001,few_shot,10,5,run1,38,s9,True,absent,decrease,increase,0.04799999999999999,22,50.0
FD001,few_shot,10,5,run1,38,s11,True,absent,increase,increase,0.040999999999999925,22,50.0
FD001,few_shot,10,5,run1,38,s12,True,absent,increase,decrease,-0.03700000000000003,22,50.0
FD001,few_shot,10,5,run1,38,s14,True,absent,decrease,increase,0.014000000000000012,22,50.0
FD001,few_shot,10,5,run1,38,s15,True,absent,increase,increase,0.02300000000000002,22,50.0
FD001,few_shot,10,5,run1,39,s4,False,absent,increase,stable,-0.007999999999999952,23,125.0
FD001,few_shot,10,5,run1,39,s7,False,unspecified,decrease,decrease,-0.03199999999999992,23,125.0
FD001,few_shot,10,5,run1,39,s9,True,absent,decrease,stable,0.0,23,125.0
FD001,few_shot,10,5,run1,39,s11,True,absent,increase,stable,0.0,23,125.0
FD001,few_shot,10,5,run1,39,s12,True,absent,increase,decrease,-0.04700000000000004,23,125.0
FD001,few_shot,10,5,run1,39,s14,True,absent,decrease,increase,0.043999999999999984,23,125.0
FD001,few_shot,10,5,run1,39,s15,True,absent,increase,decrease,-0.09000000000000002,23,125.0
FD001,few_shot,10,5,run1,40,s4,False,absent,increase,increase,0.06400000000000006,45,28.0
FD001,few_shot,10,5,run1,40,s7,False,unspecified,decrease,stable,0.0,45,28.0
FD001,few_shot,10,5,run1,40,s9,True,absent,decrease,decrease,-0.035999999999999976,45,28.0
FD001,few_shot,10,5,run1,40,s11,True,absent,increase,increase,0.040999999999999925,45,28.0
FD001,few_shot,10,5,run1,40,s12,True,absent,increase,decrease,-0.03400000000000003,45,28.0
FD001,few_shot,10,5,run1,40,s14,True,absent,decrease,decrease,-0.028999999999999998,45,28.0
FD001,few_shot,10,5,run1,40,s15,True,absent,increase,decrease,-0.039999999999999925,45,28.0
FD001,few_shot,10,5,run1,41,s4,False,absent,increase,decrease,-0.03700000000000003,10,18.0
FD001,few_shot,10,5,run1,41,s7,False,unspecified,decrease,stable,0.006000000000000005,10,18.0
FD001,few_shot,10,5,run1,41,s9,True,absent,decrease,increase,0.012000000000000004,10,18.0
FD001,few_shot,10,5,run1,41,s11,True,absent,increase,decrease,-0.16700000000000004,10,18.0
FD001,few_shot,10,5,run1,41,s12,True,absent,increase,decrease,-0.028000000000000025,10,18.0
FD001,few_shot,10,5,run1,41,s14,True,absent,decrease,increase,0.015,10,18.0
FD001,few_shot,10,5,run1,41,s15,True,absent,increase,increase,0.10099999999999998,10,18.0
FD001,few_shot,10,5,run1,42,s4,False,absent,increase,increase,0.016000000000000014,23,10.0
