file,sha256,bytes,experiment,experiment_note,dataset,mode,k,n_cycles,replicate,model,engines,rmse,mae,nasa_score,distinct_values,modal_value,modal_share_pct,entropy_bits,pred_mean,true_mean,empty_reasoning,reasoning_chars_mean,example_seed
results/traces_FD003_few_shot_k5_n30.json,6edfdbbe8d795af188e96b02fba47117760444cc9b941ef5c4a8b11c727ae9d0,41524,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,few_shot,5,30,run1,llama3.1:8b,100,45.7149,38.45,55699.6,10,95.0,29.0,2.712,84.97,73.76,0,316.8,
results/traces_FD003_zero_shot_k0.json,2bf98ffcda3ba4087944442b64e3a6eea140c0379582e265c52dac44aac9e061,44438,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,zero_shot,0,5,run1,llama3.1:8b,100,58.5579,49.13,37417.6,2,23.0,61.0,0.9648,30.41,73.76,0,346.1,
results/traces_FD003_zero_shot_k0_n15.json,8b68f5729de8542bf9d60c7e4f983dbf243d366d65752907b3891eddd08a0f9d,43992,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,zero_shot,0,15,run1,llama3.1:8b,100,60.4208,50.55,47524.6,3,23.0,71.0,0.9315,28.29,73.76,0,341.7,
results/traces_FD003_zero_shot_k0_n30.json,5b1809371c6a1c82dd01e6d46e98db87268592ed2cd20f476c43ec837eb94d38,41630,original grid,"27 runs on FD001 and FD003, k x n, original example sampler",FD003,zero_shot,0,30,run1,llama3.1:8b,100,56.2982,46.57,33469.2,2,23.0,51.0,0.9997,32.31,73.76,0,318.1,
results_p0/traces_p0_FD001_zs_n30_invcue.json,616522180d57c1fda8f5a04c0484b09de1b80ac23b75e97c5bb6616b0c1f48a0,46829,control arms,paired prompt controls on FD001 zero-shot n=30,FD001,zero_shot,0,30,run1,llama3.1:8b,100,62.3246,52.24,44511.9,5,23.0,84.0,0.8241,25.87,74.45,0,348.1,
results_p0/traces_p0_FD001_zs_n30_nocue.json,acfb0abeaaf99a9c20a5038dd842b5688abd340261750805fae93e20aabfb2c3,43779,control arms,paired prompt controls on FD001 zero-shot n=30,FD001,zero_shot,0,30,run1,llama3.1:8b,100,59.1326,49.62,32450.1,4,23.0,69.0,1.0629,28.71,74.45,0,318.6,
results_p0/traces_p0_FD001_zs_n30_repl.json,e7e3b4d9ad14ca7847ac4c0dc29c1655bfd45fa8255907512420de80c9a29930,49533,control arms,paired prompt controls on FD001 zero-shot n=30,FD001,zero_shot,0,30,run1,llama3.1:8b,100,61.573,50.94,44023.3,3,23.0,80.0,0.7792,26.81,74.45,0,377.1,
results_p0/traces_p0_FD001_zs_n30_revdata.json,bc6854e43185a692a37f0cf2a1f19dd654c8dc0702b2be44fc3b5f734bee55e8,50607,control arms,paired prompt controls on FD001 zero-shot n=30,FD001,zero_shot,0,30,run1,llama3.1:8b,100,61.2073,51.45,43687.6,4,23.0,77.0,0.934,27.42,74.45,0,384.8,
results_p1/traces_p1_FD001_fs_k5_n5_asis_seed1.json,a3f5393f4e37bc7efc48061cec11686d60202fd72cdebb957fa20055c4514aba,42192,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,62.489,52.53,48689.9,3,23.0,84.0,0.7943,26.28,74.45,0,281.7,1
results_p1/traces_p1_FD001_fs_k5_n5_random_seed1.json,bef597dc3d852ad88181c4fabb397c6b02cfd7b660caede879c48423d9516f02,44113,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,43.6789,37.67,10900.6,11,53.0,26.0,2.8659,63.84,74.45,0,298.9,1
results_p1/traces_p1_FD001_fs_k5_n5_random_seed2.json,38872e5ae1db097c6c8b4c259c7b91f6c5ee219b11dc4477ff721ad969416e21,43059,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,41.2724,36.65,7123.5,4,73.0,65.0,1.2044,66.44,74.45,0,288.4,2
results_p1/traces_p1_FD001_fs_k5_n5_random_seed3.json,89ea0581f2c327bc32698ff1a9f1147da5050dca7ebcc9c41324b43840689d5e,46916,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,38.6819,33.41,5767.9,11,80.0,43.0,2.1454,67.2,74.45,0,326.9,3
results_p1/traces_p1_FD001_fs_k5_n5_strat_seed1.json,ef6512e40334e4dd267e1cb491036a6bf8ffb32f0db02c853fb8b33932e17099,44885,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,50.5971,44.07,14098.2,5,45.0,67.0,1.2827,43.74,74.45,0,307.6,1
results_p1/traces_p1_FD001_fs_k5_n5_strat_seed2.json,a65810cda6a417db507d964e55e1ed363cc5c03c51fe93543d642b87de7b0a1d,44118,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,44.3672,35.21,22304.7,8,80.0,32.0,2.4109,55.1,74.45,0,299.9,2
results_p1/traces_p1_FD001_fs_k5_n5_strat_seed3.json,3f51b012436b48fdc6c2e6cdb3662889fc1938d0063ee704b972a286d33a931e,42988,example-set experiment,"k fixed, only the examples change, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,60.7112,49.23,50100.5,4,23.0,85.0,0.7837,31.6,74.45,0,288.6,3
results_p1/traces_p1_FD001_zs_n30_deepseek-r1_7b.json,f35c06a3b40759a65da948dbcf88e0bdb9e72400911271cb56a69148229fe0f3,83552,model sweep,"one configuration, different models, FD001 zero-shot n=30",FD001,zero_shot,0,30,run1,deepseek-r1:7b,50,67.3059,57.88,44881.9,19,12.0,24.0,3.5178,21.58,74.38,0,727.0,
results_p1/traces_p1_FD001_zs_n30_llama3.1_8b-instruct-q8_0.json,abe195bdd30dbce1544c5c740e2e6303e88b724f7d9b02d1238f2ea288e80246,105902,model sweep,"one configuration, different models, FD001 zero-shot n=30",FD001,zero_shot,0,30,run1,llama3.1:8b-instruct-q8_0,100,52.3999,44.57,16379.9,5,42.0,80.0,0.9933,39.02,74.45,0,424.9,
results_p1/traces_p1_FD001_zs_n30_mistral_7b.json,9e10a1d78212b8d7c0a5d4ce3015ec7c10fb0a51180d2a0140b814a8d1fc7bf1,79974,model sweep,"one configuration, different models, FD001 zero-shot n=30",FD001,zero_shot,0,30,run1,mistral:7b,100,46.8814,40.39,10641.1,4,60.0,50.0,1.2335,50.5,74.45,0,302.2,
results_p1/traces_p1_FD001_zs_n30_qwen2.5_7b.json,3abddaad58476a1d4bf6b8879afa6067fc0d5bea8e94f4bae605c3e0e66d256c,70596,model sweep,"one configuration, different models, FD001 zero-shot n=30",FD001,zero_shot,0,30,run1,qwen2.5:7b,100,71.695,60.45,107311.7,1,15.0,100.0,-0.0,15.0,74.45,0,255.9,
results_p1/traces_p1_grid_FD001_fs_k10_n15.json,38a1051d2712c97b842d967fcf80705ce00cb8bbc9b221e44e699382cbca0ed2,38782,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,10,15,run1,llama3.1:8b,100,41.9627,38.03,5537.2,1,62.0,100.0,-0.0,62.0,74.45,0,261.6,
results_p1/traces_p1_grid_FD001_fs_k10_n30.json,71d098395be688a47df7598105a52c7f76ec42f8cca7851fd5fa613e3d177e2c,38821,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,10,30,run1,llama3.1:8b,100,64.5071,50.55,1502460.8,1,125.0,100.0,-0.0,125.0,74.45,0,261.0,
results_p1/traces_p1_grid_FD001_fs_k10_n5.json,2ac8d975de64ec62e8f0ef04a1493392cbc13efb67f98ca5e25b522fad97d47e,39703,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,10,5,run1,llama3.1:8b,100,49.7028,43.57,11065.0,2,45.0,98.0,0.1414,44.96,74.45,0,271.8,
results_p1/traces_p1_grid_FD001_fs_k3_n15.json,6f55ef49e754af5a8050cb1e7cfcc823c965fd08d335d2a91deb9690a356ce31,41586,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,3,15,run1,llama3.1:8b,100,51.0193,44.13,13614.2,5,42.0,81.0,0.928,43.04,74.45,0,290.6,
results_p1/traces_p1_grid_FD001_fs_k3_n30.json,f8d98662dfeb1cac16dc40adaceed1ae6623147d3d877a51efcd937f2241e673,44670,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,3,30,run1,llama3.1:8b,100,50.4678,44.2,12207.4,5,45.0,57.0,1.2378,43.93,74.45,0,321.5,
results_p1/traces_p1_grid_FD001_fs_k3_n5.json,de014c8278f0092aacda397073cc99ee8f073f29b666e7b49254bcb319f70305,44253,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,3,5,run1,llama3.1:8b,100,51.5642,44.93,13721.5,1,42.0,100.0,-0.0,42.0,74.45,0,318.3,
results_p1/traces_p1_grid_FD001_fs_k5_n15.json,63c23f3926b4b6cf4ff6dcac9a4b2d0b32cfbf5619eaa165c67e929eaa081384,40565,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,5,15,run1,llama3.1:8b,100,50.662,44.24,12409.3,4,42.0,52.0,1.1388,43.37,74.45,0,280.4,
results_p1/traces_p1_grid_FD001_fs_k5_n30.json,f5702a89ef5f0bd05d8776dda65bb68cd5478e713e14c5cad83e9cb3b4ffb1e0,44340,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,5,30,run1,llama3.1:8b,100,49.3819,38.11,328258.5,4,105.0,42.0,1.6469,99.5,74.45,0,317.6,
results_p1/traces_p1_grid_FD001_fs_k5_n5.json,2a70bdef1b6e4592d240668144e14ec3983b686c90b3b05fc68c7c47d222db5a,42440,corrected grid,"k x n re-run with the stratified example sampler, FD001",FD001,few_shot,5,5,run1,llama3.1:8b,100,49.9995,43.65,11555.7,4,45.0,70.0,1.1578,44.14,74.45,0,300.2,
results_p1/traces_p2_FD002_zs_n30.json,986a616c097d2f53bbd87bdb4658a9050ecd39b46847ac0af422d8595a8d17f9,119194,multi-condition,"FD002 and FD004, zero-shot n=30, per-regime scaling",FD002,zero_shot,0,30,run1,llama3.1:8b,259,63.2,52.9923,146693.8,4,23.0,83.4,0.7198,26.174,73.691,0,361.3,
results_p1/traces_p2_FD004_zs_n30.json,08fe6c684d5513c9ddc6a43fe6cee9fd8a1a93a9e7c52eeb838ce77548a48343,115480,multi-condition,"FD002 and FD004, zero-shot n=30, per-regime scaling",FD004,zero_shot,0,30,run1,llama3.1:8b,248,66.5576,55.9435,172812.6,4,23.0,80.2,0.7938,26.681,77.859,0,366.7,
